osm_way_id,road_name,highway_type,speed_limit_kmh,surface,lanes,oneway,length_m,num_nodes,start_lat,start_lon,end_lat,end_lon,midpoint_lat,midpoint_lon,start_elevation_m,end_elevation_m,road_slope_deg,max_bearing_change_deg,total_bearing_change_deg,curvature_per_km,road_curvature
286241464,Gadaladeniya-Paranapattiya Road,primary,50,asphalt,2,0,2535.9,90,7.2583226,80.5558609,7.2436951,80.5436951,7.252709,80.547763,542.0,550.0,0.18,37.4,1090.2,429.9,mild
286368490,Ilukwatta - Nugagahamula Road,tertiary,40,asphalt,1,0,2072.2,60,7.2476559,80.5444291,7.2609992,80.5402192,7.253428,80.541551,557.0,507.0,1.38,38.2,989.5,477.5,mild
288267104,Danture Road,primary,50,asphalt,2,0,3335.1,103,7.2820676,80.5343222,7.2662768,80.5520361,7.274405,80.544424,522.0,503.0,0.33,49.9,1655.6,496.4,sharp
288267196,Kadugannawa-Pottepitiya Road,primary,50,asphalt,2,0,5321.8,228,7.2878243,80.4959752,7.2648839,80.5220631,7.272973,80.509666,549.0,591.0,0.45,54.2,3723.0,699.6,sharp
316504028,Legamuwa Road,tertiary,40,unknown,1,0,1813.9,49,7.2409815,80.5330101,7.2479417,80.5268978,7.242668,80.527911,556.0,596.0,1.26,66.5,777.0,428.3,sharp
316505622,Gadaladeniya-Paranapattiya Road,primary,50,asphalt,2,0,2746.1,197,7.2436951,80.5436951,7.2293166,80.5364598,7.235162,80.541841,550.0,541.0,0.19,54.1,2864.4,1043.1,sharp
317347604,Gampola Road,primary,50,asphalt,2,0,1665.8,88,7.2479417,80.5268978,7.2569925,80.5189842,7.252755,80.523865,596.0,521.0,2.58,37.2,1216.2,730.1,mild
317347605,Gampola Road,primary,50,asphalt,2,0,3578.4,235,7.2479417,80.5268978,7.2293166,80.5364598,7.237657,80.532959,596.0,541.0,0.88,47.0,3291.8,919.9,sharp
367617510,Colombo-Kandy Road,trunk,60,asphalt,2,0,10218.6,265,7.2488594,80.4748487,7.2657469,80.5523853,7.255649,80.50845,209.0,509.0,1.68,45.8,3201.6,313.3,sharp
368059468,Unnamed,tertiary,40,unknown,1,0,1873.5,61,7.2344743,80.5412687,7.22,80.5442793,7.22644,80.543494,530.0,662.0,4.03,47.7,1126.3,601.2,sharp
378232058,Henawala Danthure Rd,tertiary,40,unknown,1,0,102.5,5,7.2623007,80.5313995,7.2628045,80.5306921,7.262534,80.530988,507.0,511.0,2.23,32.9,78.7,767.6,mild
380707993,Kadugannawa - Balana Road,tertiary,40,asphalt,1,0,2219.1,63,7.2585102,80.5217962,7.26184,80.5107376,7.261191,80.515258,528.0,637.0,2.81,61.1,1392.0,627.3,sharp
402811872,Unnamed,tertiary,30,asphalt,1,0,1146.9,44,7.246428,80.5534016,7.2476559,80.5444291,7.246452,80.54912,517.0,557.0,2.0,43.3,706.5,616.0,mild
404198980,Henawala Dambagoda Rd,tertiary,40,unknown,1,0,772.1,30,7.2628045,80.5306921,7.2685277,80.5282951,7.265763,80.529358,511.0,510.0,0.07,64.3,659.2,853.7,sharp
404516576,Kadugannawa - Balana Road,tertiary,40,asphalt,1,0,2655.1,78,7.26184,80.5107376,7.2694016,80.5003494,7.264888,80.504199,637.0,572.0,1.4,85.5,1992.0,750.2,sharp
404517553,Kadugannawa-Pottepitiya Road,primary,50,asphalt,2,0,389.2,18,7.2585102,80.5217962,7.2569925,80.5189842,7.257837,80.520096,528.0,521.0,1.03,25.5,139.6,358.7,mild
404517554,Kadugannawa-Pottepitiya Road,primary,50,asphalt,2,0,1467.6,108,7.2648839,80.5220631,7.2585102,80.5217962,7.261553,80.523871,591.0,528.0,2.46,51.4,1754.6,1195.6,sharp
404517560,Henawala - Dambagoda Road,tertiary,40,asphalt,1,0,186.9,4,7.2685277,80.5282951,7.2701936,80.5280926,7.269517,80.528183,510.0,522.0,3.67,6.9,12.5,66.6,straight
474137031,Kovilkanda Road,tertiary,40,unknown,1,0,3247.3,145,7.2251763,80.528935,7.2341261,80.5070621,7.228754,80.5183,462.0,238.0,3.95,58.7,3121.9,961.4,sharp
