feature,rf_mdi,xgb_mdi
is_steep,0.021916476042361913,0.06837961
slope_cat,0.03461353690082068,0.06776082
vis_class,0.08500667989839285,0.051160213
speed_limit_kmh,0.023017656397854414,0.039122183
is_sharp,0.02170507841346978,0.03538251
vis_x_night,0.033547452257610855,0.032545336
weather_enc,0.048147744375864096,0.02939616
road_slope_deg,0.03847572087910871,0.028876087
is_low_vis,0.013646811745521707,0.028183637
vis_rain_prod,0.017660786357399115,0.024962436
visibility_km,0.07744231944761149,0.023928478
veh_lorry,0.0047602272546651055,0.021078821
speed_wet,0.012656062360210817,0.020302868
road_curv_enc,0.023325846869867287,0.018927839
veh_bus,0.004236432895246504,0.016905716
is_over_limit,0.011256194997244283,0.016299909
precipitation_mm,0.020784559112461506,0.015640203
is_heavy_vehicle,0.005854545395761511,0.015533838
acc_hit_barrier,0.0024297041676394613,0.015114569
veh_car,0.014795582215606761,0.01498487
veh_three-wheeler,0.0009544820820687762,0.014905717
high_risk_combo,0.007743032591760348,0.014401116
wet_night,0.004401009309474966,0.014386655
rain_x_curve,0.018878040223645386,0.014119242
speeding,0.010552099281087976,0.01352229
slope_x_curve,0.04835529219171075,0.013478472
speed_excess_kmh,0.0176792857377414,0.013188232
is_two_wheeler,0.004235762912905365,0.013094658
vehicle_risk_weight,0.019770871544724893,0.012650066
moto_rain,0.0030701619412051876,0.012574828
location_risk,0.032932158449933135,0.012524818
estimated_speed_kmh,0.020030646332509356,0.0114692785
is_night,0.006829231944604082,0.011272873
is_fog_risk,0.006144544785197262,0.011185775
rain_intensity,0.011384245017133327,0.011179624
wx_prcp,0.011765393735901268,0.010801166
surface_enc,0.020339802874589766,0.010667623
acc_rear_end,0.002169260535776289,0.010381233
veh_motorcycle,0.002336403827787021,0.009352014
speed_ratio,0.025133603164369897,0.008739728
season_enc,0.003180994387592029,0.008125708
acc_vehicle_fire,0.0012661035595518495,0.008099299
wx_is_rainy,0.004251764624170067,0.0077658603
acc_overturn,0.0016697147328203665,0.0075616892
is_morning_peak,0.005843384957996787,0.0069800727
num_vehicles,0.0021338899497467495,0.006427353
elevation_m,0.012180256368926345,0.0062611364
is_weekend,0.0013960176850874037,0.00618805
lorry_steep,0.002833499743947619,0.0061587696
temp_avg_c,0.011760751501053334,0.0058575193
hour,0.010141767432661734,0.0057715103
wx_tmax,0.011065446891977295,0.0056254924
wx_rain_3day,0.009729218477739788,0.0053654863
acc_head_on,0.0008589085774782471,0.005302933
wx_tmin,0.010435844907814358,0.0052256635
acc_sideswipe,0.0010316345963059075,0.0051525836
hour_cos,0.015441935715463326,0.0049649333
wx_heavy_rain,0.0018506316917077715,0.004828399
driver_age,0.010007943327872025,0.004770823
exp_ratio,0.008547282238229826,0.004717619
wx_pressure_drop,0.0110880477515991,0.004652504
wx_wspd,0.009385458604720313,0.0045286873
is_monsoon,0.0016342209410063761,0.0045227204
inexperienced,0.0011875054601774733,0.0045165922
young_driver,0.0010570591018478918,0.004385062
is_evening_peak,0.002994633989453628,0.004147599
wind_speed_kmh,0.009257826962429416,0.0040581645
hour_sin,0.01045969748339606,0.003944324
wx_temp_range,0.00855267717632282,0.003701634
wx_tavg,0.009652519748452033,0.0035453918
wx_pres,0.00881004362881928,0.0030929805
driving_exp_yrs,0.00784156615571905,0.0029438692
acc_pedestrian_hit,0.001064581730747067,0.0024279985
acc_fell_off_road,0.0009718449392505872,0.0
senior_driver,0.00043057848907076445,0.0
